AMC,AMFICode,Scheme Name,Scheme Type,AMFI Scheme Category,Scheme NAV Name,Scheme Category,Sub Category,Fundtype,PlanType,ISIN Div Payout / ISIN Growth,ISIN Div Reinvestment,Launch Date,Closure Date,Scheme Minimum Amount,isPrimary
Axis Asset Management Co. Ltd.,151585,Axis S&P BSE Sensex ETF,Open Ended,Other Scheme - Other  ETFs,Axis S & P BSE Sensex ETF,Other,Other  ETFs,DE,Regular,INF846K010Q0,,10-Mar-2023,21-Mar-2023,5000.0,N
Axis Asset Management Co. Ltd.,151586,Axis Fixed Term Plan - Series 113 (1228 Days),Close Ended,Income,Axis Fixed Term Plan - Series 113 (1228 Days) - Direct Plan - Growth,,Income,DE,Direct,INF846K011Q8,,15-Mar-2023,20-Mar-2023,5000.0,Y
Axis Asset Management Co. Ltd.,151587,Axis Fixed Term Plan - Series 113 (1228 Days),Close Ended,Income,Axis Fixed Term Plan - Series 113 (1228 Days) - Direct Plan - Quarterly IDCW,,Income,DE,Direct,INF846K012Q6,,15-Mar-2023,20-Mar-2023,5000.0,N
Axis Asset Management Co. Ltd.,151588,Axis Fixed Term Plan - Series 113 (1228 Days),Close Ended,Income,Axis Fixed Term Plan - Series 113 (1228 Days) - Regular Plan - Growth,,Income,DE,Regular,INF846K014Q2,,15-Mar-2023,20-Mar-2023,5000.0,Y
Axis Asset Management Co. Ltd.,151589,Axis Fixed Term Plan - Series 113 (1228 Days),Close Ended,Income,Axis Fixed Term Plan - Series 113 (1228 Days) - Regular Plan - Quarterly IDCW,,Income,DE,Regular,INF846K015Q9,,15-Mar-2023,20-Mar-2023,5000.0,Y
Axis Asset Management Co. Ltd.,151629,Axis Fixed Term Plan - Series 113 (1228 Days),Close Ended,Income,Axis Fixed Term Plan - Series 113 (1228 Days) - Regular Plan - Half Yearly IDCW,,Income,DE,Regular,INF846K016Q7,,15-Mar-2023,20-Mar-2023,5000.0,Y
Invesco Asset Management (India) Private Limited,151590,Invesco India Nifty G-sec Jul 2027 Index Fund,Open Ended,Other Scheme - Index Funds,Invesco India Nifty G-sec Jul 2027 Index Fund - Regular - Growth,Other,Index Funds,DE,Regular,INF205KA1759,,16-Mar-2023,,1000.0,Y
Invesco Asset Management (India) Private Limited,151591,Invesco India Nifty G-sec Jul 2027 Index Fund,Open Ended,Other Scheme - Index Funds,Invesco India Nifty G-sec Jul 2027 Index Fund - Regular - IDCW Payout,Other,Index Funds,DE,Regular,INF205KA1767,,16-Mar-2023,,1000.0,Y
Invesco Asset Management (India) Private Limited,151592,Invesco India Nifty G-sec Jul 2027 Index Fund,Open Ended,Other Scheme - Index Funds,Invesco India Nifty G-sec Jul 2027 Index Fund - Direct - IDCW Payout,Other,Index Funds,DE,Direct,INF205KA1783,,16-Mar-2023,,1000.0,N
Invesco Asset Management (India) Private Limited,151593,Invesco India Nifty G-sec Jul 2027 Index Fund,Open Ended,Other Scheme - Index Funds,Invesco India Nifty G-sec Jul 2027 Index Fund - Direct - Growth,Other,Index Funds,DE,Direct,INF205KA1775,,16-Mar-2023,,1000.0,Y
Invesco Asset Management (India) Private Limited,151594,Invesco India Nifty G-sec Sep 2032 Index Fund,Open Ended,Other Scheme - Index Funds,Invesco India Nifty G-sec Sep 2032 Index Fund - Regular - Growth,Other,Index Funds,DE,Regular,INF205KA1791,,16-Mar-2023,,1000.0,Y
Invesco Asset Management (India) Private Limited,151595,Invesco India Nifty G-sec Sep 2032 Index Fund,Open Ended,Other Scheme - Index Funds,Invesco India Nifty G-sec Sep 2032 Index Fund - Regular - IDCW Payout,Other,Index Funds,DE,Regular,INF205KA1809,,16-Mar-2023,,1000.0,Y
